Province,Year,prop_homeowners,prop_working,prop_school_absentees,prop_toilet_access,gdp,population,land_area,target: energy_capacity
ACEH,2017,80.42,86.4,2.02,70.67,145806.92,5243.4,57956.0,211.0
SUMATERA UTARA,2017,67.53,88.08,1.96,83.81,684634.43,14476.0,72981.23,5569.78
SUMATERA BARAT,2017,70.58,85.91,1.44,70.35,213893.47,5411.8,42012.89,154.13
RIAU,2017,68.15,90.39,1.99,87.9,704705.03,6717.6,87023.66,369.11
JAMBI,2017,81.39,90.77,3.2,81.03,189787.72,2174.8,8201.72,46.44
SUMATERA SELATAN,2017,80.6,90.4,1.48,76.0,382885.7,3527.1,50058.16,4345.22
BENGKULU,2017,80.83,91.91,2.43,80.28,60657.68,8391.5,91592.43,60.38
LAMPUNG,2017,86.36,90.32,2.43,84.73,306700.43,1432.1,16424.06,237.96
KEP. BANGKA BELITUNG,2017,83.75,89.9,2.78,85.79,69865.21,1948.6,19919.33,257.85
KEP. RIAU,2017,65.7,89.4,1.76,89.67,227706.88,8377.7,34623.8,898.65
DKI JAKARTA,2017,48.33,82.56,0.85,83.69,2365353.85,10428.0,664.01,4590.6
JAWA BARAT,2017,76.83,86.14,2.68,78.98,1788117.36,48475.5,35377.76,9621.36
JAWA TENGAH,2017,88.01,86.08,5.27,79.91,1172794.52,12530.8,9662.92,7971.65
DI YOGYAKARTA,2017,75.26,80.19,4.83,80.55,119128.72,34358.5,32800.69,
JAWA TIMUR,2017,87.55,86.63,6.69,75.71,2012917.99,3818.3,3133.15,10042.87
BANTEN,2017,81.38,85.5,2.9,80.95,563597.7,39521.9,47799.75,7044.84
BALI,2017,70.54,90.37,6.42,78.68,213035.86,4985.1,5780.06,1040.99
NUSA TENGGARA BARAT,2017,85.66,85.54,10.08,62.06,123822.76,2612.6,18572.32,810.33
NUSA TENGGARA TIMUR,2017,86.5,91.22,5.88,69.21,90758.93,4162.4,48718.1,333.51
KALIMANTAN BARAT,2017,87.99,89.09,7.0,75.24,177493.65,3573.8,147307.0,548.4
KALIMANTAN TENGAH,2017,76.8,92.15,1.54,75.88,125817.07,682.8,153564.5,169.6
KALIMANTAN SELATAN,2017,77.3,89.21,2.23,77.22,159104.55,2474.4,38744.23,3524.98
KALIMANTAN TIMUR,2017,68.87,88.7,1.84,91.76,591903.49,1166.1,129066.64,653.03
KALIMANTAN UTARA,2017,69.72,88.93,3.82,85.71,76927.57,3001.9,75467.7,248.0
SULAWESI UTARA,2017,76.79,84.44,0.59,74.22,110116.73,8748.1,13851.64,248.42
SULAWESI TENGAH,2017,83.7,90.55,2.46,64.63,133951.16,1340.1,11257.07,1673.93
SULAWESI SELATAN,2017,82.75,82.87,6.27,77.24,415588.2,2623.6,61841.29,3020.37
